Date	Price	Open	High	Low	Vol.	Change %
2016/9/29	131.55	131.38	131.67	131.17	1.17M	0.08
2016/9/28	131.44	131.52	131.62	131.33	1.07M	-0.07
2016/9/27	131.53	131.36	131.67	131.14	1.17M	0.17
2016/9/26	131.31	131.06	131.45	131	828.18K	0.21
2016/9/23	131.03	130.92	131.08	130.86	719.77K	0.13
2016/9/22	130.86	130.7	131.09	130.66	1.08M	-0.4
2016/9/21	131.38	131.42	131.56	131.19	7.54K	-0.08
2016/9/20	131.48	131.33	131.66	131.33	12.47K	0.05
2016/9/19	131.42	131.53	131.56	131.31	6.93K	0.01
2016/9/16	131.41	131.58	131.8	131.39	3.16K	-0.03
2016/9/15	131.45	131.38	131.72	131.17	12.25K	0.01
2016/9/14	131.44	131.03	131.47	131.03	38.70K	0.36
2016/9/13	130.97	131.5	131.73	130.81	31.26K	-0.37
2016/9/12	131.45	131.25	131.58	131.16	7.41K	0.11
2016/9/9	131.31	131.77	131.83	131.27	25.62K	-0.27
2016/9/8	131.67	132.28	132.36	131.62	23.81K	-0.48
2016/9/7	132.3	132.33	132.48	132.22	57.78K	0
2016/9/6	132.3	131.67	132.36	131.56	46.68K	1.23
2016/9/5	130.69	130.66	130.78	130.62	0	0.01
2016/9/4	130.68	130.75	130.75	130.66	0	-0.79
2016/9/2	131.72	131.83	132.25	131.47	51.22K	-0.13
2016/9/1	131.89	131.73	132.02	131.39	191.90K	0.01
2016/8/31	131.88	131.92	132.08	131.72	256.77K	-0.01
2016/8/30	131.89	131.97	132.03	131.69	986.14K	-0.05
2016/8/29	131.95	131.38	132	131.3	1.64M	0.43
2016/8/26	131.38	132.05	132.44	131.36	2.76M	-0.51
2016/8/25	132.06	132.19	132.3	132	2.06M	-0.12
2016/8/24	132.22	132.28	132.36	132.11	1.30M	0
2016/8/23	132.22	132.27	132.42	132.05	1.05M	-0.05
2016/8/22	132.28	131.89	132.31	131.69	946.75K	0.25
2016/8/19	131.95	132.42	132.44	131.83	987.24K	-0.32
2016/8/18	132.38	132.22	132.48	132.08	884.81K	0.2
2016/8/17	132.11	132	132.39	131.83	1.11M	0.08
2016/8/16	132	132.22	132.64	131.88	1.46M	-0.19
2016/8/15	132.25	132.55	132.7	132.17	779.59K	-0.21
2016/8/12	132.53	132.09	132.91	132.03	1.19M	0.36
2016/8/11	132.05	132.7	132.78	132	1.00M	-0.51
2016/8/10	132.73	132.31	132.78	132.31	1.03M	0.29
2016/8/9	132.34	131.98	132.42	131.92	924.12K	0.22
2016/8/8	132.05	132.05	132.2	131.8	978.79K	-0.07
2016/8/5	132.14	133.02	133.06	132.05	1.32M	-0.61
2016/8/4	132.95	132.58	133.09	132.45	1.12M	0.28
2016/8/3	132.58	132.41	132.64	132.27	1.02M	0.02
2016/8/2	132.55	132.59	132.72	132.2	1.42M	-0.19
2016/8/1	132.8	133.12	133.12	132.56	1.03M	-0.19
2016/7/29	133.05	132.66	133.14	132.11	1.58M	0.37
2016/7/28	132.56	132.64	132.75	132.34	1.11M	0.01
2016/7/27	132.55	132.14	132.67	131.83	1.17M	0.33
2016/7/26	132.12	132.03	132.34	131.86	1.02M	0.05
2016/7/25	132.06	132.12	132.27	131.89	732.64K	-0.05
2016/7/22	132.12	132.3	132.52	131.91	993.88K	-0.08
